ref,address,date_entered
"DSP 696","42, Corn Market Street","1993-04-13"
"DSP 1021","Site (adjacent to No.34) South Main Street","1998-12-30"
"DSP 1119","50, Grand Parade","2000-03-03"
"DSP 1181","19, South Terrace","2001-01-25"
"DSP 1237","Site at Broad Lane","2003-09-05"
"DSP 1257","6A & 7, John Redmond Street","2008-05-09"
"DSP 1303","Site at South Douglas Road","2009-06-10"
"DSP 1170","Corner of Coach Street","2012-02-13"
"DSP 1739","62, North Main Street","2015-12-10"
"DSP 1740","63, North Main Street","2015-12-10"
"DSP 1741","64, North Main Street","2015-12-10"
"DSP 1742","65, North Main Street","2015-12-10"
"DSP 1359","118, Barrack Street","2015-12-10"
"DSP 1520","1, Parkgate Villas","2015-12-10"
"DSP 1682","119, Barrack Street","2015-12-10"
"DSP 1744","5, Prosperous Place","2016-06-20"
"DSP 1258","Site at Moylan's Lane","2016-05-20"
"DSP 947","122, Gardiner's Hill","2016-08-01"
"DSP 1745","Warehouse, at corner of Kyle Street","2016-03-31"
"DSP 1752","7 Shandon Villa, Pope's Road","2016-06-10"
"DSP 1483","4, GERALD GRIFFIN AVENUE","2016-10-27"
"DSP 1811","GRIANBRU, INCORPORATING FORMER POST OFFICE AT DENNEHY'S CROSS","2017-03-13"
"DSP 1502","FORMER OUR LADY'S HOSPITAL, EASTERN SECTIONS OF ATKINS HALL BUILDING","2017-03-31"
"DSP 1813","SITE 1, KYRL'S QUAY","2017-04-10"
"DSP 1814","SITE 2, KYRL'S QUAY","2017-04-10"
"DSP 1815","SITE 3, KYRL'S QUAY","2017-04-10"
"DSP 1732","23, LOWER JOHN STREET","2017-12-20"
"DSP 1472","24, LOWER JOHN STREET","2017-12-20"
"DSP 1778","21, LOUGH ROAD","2017-12-21"
"DSP 1538","11/13 STRAWHALL, GERALD GRIFFIN STREEET","2017-12-29"
"DSP 1426","CARMELITE PLACE, (FORMER 1-6 CARMELITE PLACE), WESTERN ROAD, CORK","2018-04-16"
"DSP 1674","34/35 SHEARES STREET, CORK","2018-04-16"
"DSP 130","15/16 Kyle Street, Cork","2018-05-10"
"DSP 1766","1 Convent View, Strawberry Hill, Cork","2018-08-03"
"DSP 1847","Property on Piccadilly Lane to the rear of 84 North Main Street","2018-09-07"
"DSP 1859","42 College Road","2018-09-07"
"DSP 1852","Car park at Avenue Des Rennes Shopping Centre, Mahon","2018-09-25"
"DSP 1256","60 Shandon Street, Cork","2018-10-09"
"DSP 1817","61 Shandon Street, Cork","2018-10-09"
"DSP 1850","Lands formerly known as Lakelands Tavern","2018-10-22"
"DSP 1827","Comprising 1 & 2 Ashton Place and Ashton Cottage (as bounded by Blackrock Road, Ashton Avenue, Ashton Park, and the curtilage of 3 & 4 Ashton Place and Feltrim Lodge), Blackrock","2018-11-05"
"DSP 1724","'Shandon', 14 The Grove, Shanakiel, Cork","2019-02-19"
"DSP 1437","4a Old Spangle Hill, Popham's Road, Farranree, Cork","2019-02-22"
"DSP 1886","Derelict Site Site comprising of 6 & 7 Bramble Cottages and lands formerly known as 4 & 5 Bramble Cottages, Old Spangle Hill, Farranree, Cork","2019-02-22"
"DSP 1567","The Former Good Shepherd Convent Site, Convent Avenue & Buckston Hill, Sunday's Well, Cork","2019-02-22"
"DSP 1677","3 Father Matthew Street and adjacent building at Fitton Street East.","2019-03-25"
"DSP 1881","Lands formerly known as Manhattan Bar (as bounded by Lower Friars Walk, curtilage of ""Woodleigh,"" curtilage of Ard Na Gréine, and sportsground), Lower Friars Walk, Cork","2019-06-14"
"DSP 1854","14 Adelaide Street, Cork","2019-06-18"
"DSP 1921","Old Railway Station, Rochestown, Cork","2016-07-01"
"DSP 1923","35 Hillside, Grange, Douglas, Cork T12 V8K1","2011-07-19"
"DSP 1870","Lenihan & Mansfield Warehouse & Adjacent lands at junction of Devonshire & Francis Street Cork","2019-08-26"
"DSP 1478","17 South View, Ballinlough, Cork","2019-09-06"
"DSP 1749","Derelict Site incorporating 36 Dominick Street and adjacent site and corner of Dominick Street and Shandon Street","2019-12-02"
"DSP 1496","2 Ferry Lane, Popes Quay, Cork","2020-01-17"
"DSP 1768","62 Blarney Street, Cork T23 AX9X","2020-02-28"
"DSP 1985","Vernon Mount House & Associated lands, Curraghconway, Cork","2021-03-05"
"DSP 1431","4 & 5 Father Mathew Quay","2021-04-08"
"DSP 1955","20 Muskerry Terrace, Blarney, Cork","2021-11-26"
"DSP 1926","23 Spring Lane, Blackpool, Cork","2021-11-26"
