ref,address,town,eircode,date_entered,valuation
"BK/DS/01","3 St Patricks Hill, Bandon","Bandon","P72KD60","2022-12-20","150000"
"BK/DS/02","2 Oliver Plunkett Street","Bandon","","2022-12-30","40000"
"BK/DS/03","3 Oliver Plunkett Street","Bandon","P72 N803","2022-12-30","35000"
"BK/DS/04","4 Oliver Plunkett Street","Bandon","","2022-12-30","150000"
"BK/DS/05","14 McSwiney Quay","Bandon","","2024-06-06","75000"
"BK/DS/07","22 McSwiney Quay","Bandon","P72YN40","2024-06-06","350000"
"BK/DS/08","1 Bridge Street","Bandon","P72YE89","2024-06-06","50000"
"BK/DS/09","Brady's Lane","Bandon","","2024-06-06","15000"
"BK/DS/10","Well Rd/Casement Rd","Bandon","P72PY53","2024-06-06","40000"
"BK/DS/11","Patsy's Corner, Market Place","Kinsale","P17HT04","2024-06-06","290000"
"BK/DS/12","Workshop Barrack Hill","Kinsale","","2024-07-11","50000"
"BK/DS/13","The Ramparts/Green Hill","Kinsale","","2024-07-11","750000"
"BK/DS/14","Warehouse Lower O'Connell St","Kinsale","","2024-12-18","350000"
"BK/DS/16","Former Kinsale Cabs, Market Square","Kinsale","P17XE72","2024-12-18","315000"
"BK/DS/18","O'Sullivan's Apts, Market Place","Kinsale","","2025-02-24","200000"
"BK/DS/19","Actons Yard, The Glen","Kinsale","P17 K599","2025-03-07","950000"
"BK/DS/21","14 Cork Street","Kinsale","P17 YF96","2025-06-10","300000"
"BKMD/DS/20","Castleview Dunmanway Road","Bandon","P72FN82","2025-05-23","215000"
"BKMD/DS/22","18/88 North Main Street","Bandon","P72PT97","2025-08-20","80000"
"BKMD/DS/23","89 North Main Street","Bandon","","2025-08-20","80000"
"BKMD/DS/24","18 Connolly Street","Bandon","P72FP73","2026-04-24",""
"CMD/DS/01","Main Street, Ringaskiddy","Ringaskiddy","","2015-04-13","50000"
"CMD/DS/03","Elm Lawn, Ringaskiddy","Ringaskiddy","","2011-07-12","150000"
"CMD/DS/04","Cogans Corner","Carrigaline","","2024-06-10","275000"
"CMD/DS/05","The Old School House","Ringaskiddy","","2011-06-12","5000"
"CMD/DS/06","17 The Rise Owenabue Heights","Carrigaline","P43XH36","2024-01-17","250000"
"CMD/DS/07","2 Strand Street","Passage West","","2024-01-24","100000"
"CMD/DS/08","The Nest Pembroke","Passage West","","2013-06-18","100000"
"CMD/DS/09","Pembroke","Passage West","","2013-06-28","200000"
"CMD/DS/10","Knocknagore, Middle Rd","Crosshaven","","2024-03-25",""
"COMD/DS/01","O'Rahilly Street","Cobh","P24 KX 24","2023-02-10","150000"
"COMD/DS/02","23/24 West Beach","Cobh","P24Y362/P24F438","2018-08-22","50000"
"COMD/DS/04","6 West Beach","Cobh","","2021-12-01","60000"
"COMD/DS/05","14 Harbour Row","Cobh","","2020-01-31","15000"
"COMD/DS/06","16 Harbour Row","Cobh","","2020-01-31",""
"COMD/DS/07","Coolowen","Whitechurch","","2020-08-06","80000"
"COMD/DS/08","Bishop's Island","Watergrasshill","","2020-07-07","160000"
"COMD/DS/10","Ballycaskin","Carrignavar","","2020-07-07",""
"CMD/DS/11","Pembroke Park Drive, Pembroke","Passage West","","2025-07-16",""
"FMD/DS/01","59/61 Patrick St","Fermoy","P61 HR20","2005-11-16","200000"
"FMD/DS/02","No. 1 & 1a Bridget St","Fermoy","P61 W580","2021-09-17","150000"
"FMD/DS/04","Presentation Convent, Convent Hill","Mitchelstown","P67YV34","2013-07-31",""
"FMD/DS/05","Edward Street","Mitchelstown","","2007-12-12","60000"
"FMD/DS/10","24 St Bernards Place","Fermoy","P61NV26","2024-01-10","160000"
"FMD/DS/11","21 McDermott Place, Oliver Plunkett Hill","Fermoy","P61 KW94","2024-07-24","90000"
"FMD/DS/12","69 McCurtain St.","Fermoy","P61 FC78","2024-11-26","110000"
"FMD/DS/13","71 McCurtain St.","Fermoy","P61 XF58","2024-11-26","100000"
"FMD/DS/14","12 Casement Row","Fermoy","P61R992","2024-11-26","85000"
"FMD/DS/15","Main Street","Rathcormac","","2024-12-03","120000"
"FMD/DS/16","Main Street","Rathcormac","","2024-12-03","95000"
"FMD/DS/17","Canon Street","Rathcormac","","2024-12-03","170000"
"FMD/DS/18","Main Street","Rathcormac","","2025-07-09","160000"
"ECMD/DS/01","1. McCurtainstown  (Kincora Terrace)","Youghal","P36 XD90","2022-11-11","40000"
"ECMD/DS/02","Friar Street, Youghal","Youghal","P36  DR97","2022-09-26","60000"
"ECMD/DS/03","56 South Main Street, Youghal","Youghal","P36 NV34","2024-02-14","120000"
"ECMD/DS/04","57 South Main Street, Youghal","Youghal","P36 YE97","2024-02-14","130000"
"ECMD/DS/08","1 & 2 North Main Street","Youghal","P36 WK02","2026-05-20",""
"ECMD/DS/10","Loretto Convent Site","Youghal","P36 Y265","2025-12-31",""
"ECMD/DS/23","Main Street","Castlemartyr","P25T9K5","2026-03-12",""
"KMMD/DS/01","Former Central Hotel Site","Mallow","P51NR50","2023-10-03","350000"
"KMMD/DS/02","131,132 Davis Street Mallow","Mallow","","2023-10-03","100000"
"KMMD/DS/03","9 Beecher Street","Mallow","","2022-12-01","60000"
"KMMD/DS/05","Laharn, Lombardstown","Lombardstown, Mallow","","2019-02-12","30000"
"KMMD/DS/07","Percival Street (formerly Deady's)","Kanturk","P51YE09","2018-10-19","60000"
"KMMD/DS/08","the northeast of the main road to Kanturk ( Cecilstown)","Mallow","","2003-09-03","30000"
"KMMD/DS/09","the south side of Jail Lane","Charleville","","2003-09-19","40000"
"KMMD/DS/10","1 Richmond Street","Buttevant","","2018-10-16","45000"
"KMMD/DS/11","A lane off the westside of Main Street (Dispensary Lane)/Mc Carthys Lane","Buttevant","","2003-10-15","20000"
"KMMD/DS/12","The corner of New Street & lane leading to Ballalley Tce","Buttevant","","2013-03-14","50000"
"KMMD/DS/13","Templemary","Lisgriffin","P51T189","2008-02-20","70000"
"KMMD/DS/15","Westside of road between Tullylease and Freemount - Site No 3","","","2002-05-08","40000"
"KMMD/DS/16","West End","Milford","P56HP68","2006-12-12","40000"
"KMMD/DS/17","19 Ballydahin East","Mallow","P51HF76","2023-11-24","90000"
"KMMD/DS/18","27 Ballydaheen West","Mallow","P51NX6R","2023-11-24","80000"
