council,register_ref,eircode,id,original_address,cleaned_query,lat,lon,confidence,check_on_map
Cork County,KMMD/DS/01,P51NR50,cork-co-KMMD-DS-01,"Former Central Hotel Site, Mallow","Main Street, Mallow, Co. Cork",52.136111,-8.64252,town,https://www.openstreetmap.org/?mlat=52.136111&mlon=-8.64252#map=18/52.136111/-8.64252
Cork County,MMD/DS/06,P12VF64,cork-co-MMD-DS-06,"No 1 An Faithin, Tarelton, Tarelton","1 An Faithin, Tarelton, Co. Cork",51.862209,-8.418082,street,https://www.openstreetmap.org/?mlat=51.862209&mlon=-8.418082#map=18/51.862209/-8.418082
Cork County,MMD/DS/07,P12T886,cork-co-MMD-DS-07,"No 6 An Faithin, Tarelton, Tarelton","6 An Faithin, Tarelton, Co. Cork",51.935154,-8.45319,street,https://www.openstreetmap.org/?mlat=51.935154&mlon=-8.45319#map=18/51.935154/-8.45319
Cork County,MMD/DS/08,P12Y027,cork-co-MMD-DS-08,"No 8 An Faithin, Tarelton, Tarelton","8 An Faithin, Tarelton, Co. Cork",51.897223,-8.471572,street,https://www.openstreetmap.org/?mlat=51.897223&mlon=-8.471572#map=18/51.897223/-8.471572
Cork County,MMD/DS/09,P12YN81,cork-co-MMD-DS-09,"No 13 An Faithin, Tarelton, Tarelton","13 An Faithin, Tarelton, Co. Cork",51.862301,-8.417387,street,https://www.openstreetmap.org/?mlat=51.862301&mlon=-8.417387#map=18/51.862301/-8.417387
Cork County,MMD/DS/10,P12K242,cork-co-MMD-DS-10,"No 16 An Faithin, Terelton, Tarelton","16 An Faithin, Terelton, Co. Cork",51.894877,-8.474575,street,https://www.openstreetmap.org/?mlat=51.894877&mlon=-8.474575#map=18/51.894877/-8.474575
Cork County,MMD/DS/12,P12 K163,cork-co-MMD-DS-12,"Former Shop at New Street, Gurteenroe, Macroom, Macroom","New Street, Gurteenroe, Macroom, Co. Cork",51.913595,-8.979403,town,https://www.openstreetmap.org/?mlat=51.913595&mlon=-8.979403#map=18/51.913595/-8.979403
Mayo,DS2024/17,F26 X5P9,mayo-ds2024-17,"Lidl House, Bohernasup, Ballina, Co Mayo F26 X5P9","Bohernasup, Ballina, Co Mayo F26 X5P9",54.122039,-9.158992,town,https://www.openstreetmap.org/?mlat=54.122039&mlon=-9.158992#map=18/54.122039/-9.158992
Mayo,DS40/108,F26 XT63,mayo-ds40-108,"""Stephanie's Hair Salon"", Abbey Street, Abbeyhalfquarter, Ardnaree South, Ballina, Co Mayo F26XT63","Abbey Street, Abbeyhalfquarter, Ardnaree South, Ballina, Co Mayo F26XT63",54.11302,-9.139194,town,https://www.openstreetmap.org/?mlat=54.11302&mlon=-9.139194#map=18/54.11302/-9.139194
Mayo,DS40/126,F26 R6D2,mayo-ds40-126,"Abbey Street, Abbeyhalfquater, Ardnaree South, Ballina, F26 R6D2, Co. Mayo","Abbey Street, Ardnaree South, Ballina, F26 R6D2, Co. Mayo",54.112276,-9.152363,town,https://www.openstreetmap.org/?mlat=54.112276&mlon=-9.152363#map=18/54.112276/-9.152363
Mayo,DS40/191,F26 Y9P0,mayo-ds40-191,"No. (9) St. Enda's Villa's Ballina, Co Mayo F26 Y9P0.","9 St. Enda's Villas, Ballina, Co. Mayo, F26 Y9P0",54.11415,-9.162415,town,https://www.openstreetmap.org/?mlat=54.11415&mlon=-9.162415#map=18/54.11415/-9.162415
Mayo,DS40/195,F26 C3W2,mayo-ds40-195,"Property 1 Barrett Street, Ballina, Co Mayo F26 C3W2","1 Barrett Street, Ballina, Co Mayo F26 C3W2",54.112307,-9.152258,street,https://www.openstreetmap.org/?mlat=54.112307&mlon=-9.152258#map=18/54.112307/-9.152258
Mayo,DS40/57,F26 K803,mayo-ds40-57,"O'Rahilly Street, Ballina, F26 K803 (Garveys Bakery), Co. Mayo","O'Rahilly Street, Ballina, Co. Mayo, F26 K803",54.113056,-9.15561,town,https://www.openstreetmap.org/?mlat=54.113056&mlon=-9.15561#map=18/54.113056/-9.15561
Mayo,DS40/91,F26 A073,mayo-ds40-91,"""Pet Stop Discount Warehouse"", Kevin Barry St., Ballina,Co Mayo F26 A073","Kevin Barry St., Ballina, Co. Mayo F26 A073",54.112205,-9.15928,town,https://www.openstreetmap.org/?mlat=54.112205&mlon=-9.15928#map=18/54.112205/-9.15928
Mayo,DS2024/23,F26 R5P3,mayo-ds2024-23,"Tyrawley House, McDermott Street, Ballina, Co Mayo F26 R5P3","McDermott Street, Ballina, Co. Mayo F26 R5P3",54.115326,-9.159439,town,https://www.openstreetmap.org/?mlat=54.115326&mlon=-9.159439#map=18/54.115326/-9.159439
Mayo,DS10/52,F26 CR94,mayo-ds10-52,"R314, Gore Street, Killala, Co Mayo F26 CR94","Gore Street, Killala, Co. Mayo F26 CR94",54.213029,-9.220746,street,https://www.openstreetmap.org/?mlat=54.213029&mlon=-9.220746#map=18/54.213029/-9.220746
Mayo,DS43/01,F23 CH64,mayo-ds43-01,"""Ballyvary House"", Main Street, Ballyvary, Castlebar, Co Mayo F23 CH64","Main Street, Ballyvary, Castlebar, Co. Mayo F23 CH64",53.856781,-9.298259,street,https://www.openstreetmap.org/?mlat=53.856781&mlon=-9.298259#map=18/53.856781/-9.298259
