council,register_ref,eircode,id,original_address,cleaned_query,lat,lon,confidence,check_on_map
"South Dublin","1734","","sdcc-1734","Capri' Bungalow, Whitechurch Road, Rathfarnham, Dublin 16","Whitechurch Road, Rathfarnham, Dublin 16","53.285862","-6.286065","town","https://www.openstreetmap.org/?mlat=53.285862&mlon=-6.286065#map=18/53.285862/-6.286065"
"South Dublin","1317A","","sdcc-1317A","Ballyroan House Lodge, Ballyboden Road, Rathfarnham, Dublin 16","Ballyboden Road, Rathfarnham, Dublin 16","53.28524","-6.29483","town","https://www.openstreetmap.org/?mlat=53.28524&mlon=-6.29483#map=18/53.28524/-6.29483"
"South Dublin","1989","","sdcc-1989","Derelict House (Beside Coolfan House), Robinhood Road, Dublin 22.","Robinhood Road, Dublin 22","53.318138","-6.360924","town","https://www.openstreetmap.org/?mlat=53.318138&mlon=-6.360924#map=18/53.318138/-6.360924"
"South Dublin","1886","","sdcc-1886","3 Derelict Houses on Main Street, Rathcoole, Co Dublin","Main Street, Rathcoole, Co Dublin","53.281194","-6.475904","town","https://www.openstreetmap.org/?mlat=53.281194&mlon=-6.475904#map=18/53.281194/-6.475904"
"South Dublin","1991","","sdcc-1991","Derelict Site to Main Street, Rathcoole, Co Dublin","Main Street, Rathcoole, Co Dublin","53.281194","-6.475904","town","https://www.openstreetmap.org/?mlat=53.281194&mlon=-6.475904#map=18/53.281194/-6.475904"
"Fingal","DS-19.16","","fingal-DS-19.16","Site at Innisfree, Jugback Lane, Swords, Co Dublin","Innisfree, Jugback Lane, Swords, Co Dublin","53.470377","-6.228622","street","https://www.openstreetmap.org/?mlat=53.470377&mlon=-6.228622#map=18/53.470377/-6.228622"
"Fingal","DS-23.25","","fingal-DS-23.25","Tesco Site, The Mall, Balbriggan","The Mall, Balbriggan","53.608565","-6.182514","street","https://www.openstreetmap.org/?mlat=53.608565&mlon=-6.182514#map=18/53.608565/-6.182514"
"Fingal","DS-14.25A","","fingal-DS-14.25A","Site Upper Main St, No 12, 14, 14A, 16, 18, 20, Rush","12 Upper Main St, Rush","53.522503","-6.095632","town","https://www.openstreetmap.org/?mlat=53.522503&mlon=-6.095632#map=18/53.522503/-6.095632"
"Fingal","DS-14.20A","","fingal-DS-14.20A","Site adjacent to 31 Carlton Court, Swords, Co Dublin","31 Carlton Court, Swords, Co Dublin","53.452344","-6.220012","street","https://www.openstreetmap.org/?mlat=53.452344&mlon=-6.220012#map=18/53.452344/-6.220012"
"Fingal","DS-24.09","","fingal-DS-24.09","Georges Court (behind 8-10 Drogheda St) Balbriggan","8 Drogheda Street, Balbriggan, Co. Dublin","53.615372","-6.19232","town","https://www.openstreetmap.org/?mlat=53.615372&mlon=-6.19232#map=18/53.615372/-6.19232"
"Fingal","DS-24.07","","fingal-DS-24.07","Main Street, Lusk (house to left of Costcutters)","Main Street, Lusk","53.525649","-6.165604","town","https://www.openstreetmap.org/?mlat=53.525649&mlon=-6.165604#map=18/53.525649/-6.165604"
"Fingal","DS-24.81","","fingal-DS-24.81","Ballymun Villa, Charter House Hill, Ballymun Road","Charter House Hill, Ballymun Road, Dublin","53.381535","-6.26528","street","https://www.openstreetmap.org/?mlat=53.381535&mlon=-6.26528#map=18/53.381535/-6.26528"
"Fingal","DS-24.76","","fingal-DS-24.76","No 4 Bremore Pastures Avenue, Balbriggan","4 Bremore Pastures Avenue, Balbriggan, Co. Dublin","53.611637","-6.212438","street","https://www.openstreetmap.org/?mlat=53.611637&mlon=-6.212438#map=18/53.611637/-6.212438"
"Cork City","DSP-2159","","cork-DSP-2159","Site at Berwick Lane (across from Berwick House), Blackpool, Cork","Berwick Lane, Blackpool, Cork","51.910152","-8.474122","town","https://www.openstreetmap.org/?mlat=51.910152&mlon=-8.474122#map=18/51.910152/-8.474122"
