ref,address,eircode,date_entered,valuation,itm_x,itm_y
"20/39","Derelict Site @ Huntsman Inn Ballinakill, Co. Laois","R32 AW89","2017-09-25","130000","646579.84","680575.77"
"22/40","Chapel Street, Ballinakill, Co. Laois","","2024-04-03","190000","646782.00","680479.00"
"22/41","8 Chapel Lane, Ballinakill, Co. Laois","R32 R5H9","2024-04-03","100000","646804.76","680482.29"
"22/38","1 Saint Oliver's, Chapel Street, Ballinakill, Co. Laois","R32 XH33","2024-04-03","150000","646829.59","680484.560000"
"22/32","Main Street, Ballybrittas, Co. Laois","","2022-11-11","80000","657831.00","706914.00"
"21/8","Old Boy's National School, Main Street, Ballyroan, Co. Laois","R32 HC67","2022-06-03","","646754.00","689039.00"
"21/18","Newtown, Doonane, Crettyard, Co. Laois","","2022-02-22","50000","659709.00","679636.00"
"26/03","Carrigan Street, Durrow, Co. Laois","R32 P7T3","2026-07-03","","640841.00","677103.00"
"22/02","O'Connell Square, Mountmellick, Co. Laois","R32 Y868","2023-06-13","175000","645074.00","707641.00"
"22/03","Parnell Street, Mountmellick, Co. Laois","R32 EFP4","2023-06-13","175000","645098.00","707626.00"
"22/05","Market Square, Mountmellick, Co. Laois","R32 K073","2023-06-13","415000","645110.00","707618.00"
"22/06","29 Patrick Street, Mountmellick, Co. Laois","R32 N403","2023-10-19","165000","644916.71","707709.29"
"22/14","Acragar, Mountmellick, Co. Laois","R32 E263","2025-08-01","70000","645878.96","706863.76"
"22/15","Central Garages, Emmett Street, Mountmellick, Co. Laois","R32 Y820","2024-09-25","140000","644818.00","707871.00"
"22/18","Bay Road, Mountmellick, Co. Laois","R32 X4T2","2025-07-17","150000","645025.5","708406.35"
"24/09","Silverwood/Cullenbeg, Mountmellick, Co. Laois","","2025-08-01","170000","645553.00","708153.00"
"23/11","Shannon Road, Mountrath, Co. Laois","","2023-09-29","100000","635903.00","694511.00"
"24/01","Patrick Street/ (Old petrol station) Coote Street, Dysartbeagh, Mountrath, Co. Laois","","2024-09-24","60000","634992.00","694233.00"
"20/33","15 Bracklone Street, Portarlington, Co. Laois","","2022-08-24","100000","654841.128","711932.782"
"20/35","Arlington House, French Church Street, Portarlington, Co. Laois","","2025-07-17","150000","654013.00","712662.00"
"20/48","Old Post Office, Main Street, Portarlington, Co. Laois","R32 CP57","2021-09-20","60000","654285.68","712388.24"
"23/04","Cooltederry, Portarlington, Co. Laois","","2024-05-14","","654193.00","711656.00"
"24/12","Foxcroft Street, Portarlington, Co. Laois","","2024-07-23","180000","654036.00","712374.00"
"20/03","Peppers Lane, Portlaoise, Co. Laois","R32 EP28","2023-09-29","250000","647125.23","698329.28"
"21/06","Centrepoint site, Mountrath Road, Portlaoise, Co. Laois","","2021-05-17","2500000","646309.00","698543.00"
"21/12","Old Knockmay Road, Portlaoise, Co. Laois","R32 T2VE","2023-01-17","70000","646504.164","698253.91"
"21/13","8 Well Road, Portlaoise, Co. Laois","R32 F2XT","2023-05-10","90000","647323.00","698261.00"
"21/14","7 Well Road, Portlaoise, Co. Laois","R32 X6HY","2023-05-10","80000","647316.27","698267.2"
"21/22","2 Church Avenue, Portlaoise, Co. Laois","R32 V0PF","2023-09-04","200000","647138.91","698471.09"
"22/11","11 Bridge Street, Portlaoise, Co. Laois","R32 E4XF","2024-04-04","150000","647260.96","698405.61"
"22/13","4 Bramley Court, Portlaoise, Co. Laois","R32 T0F6","2023-06-13","150000","646095.92","699452.58"
"22/34","88 Main Street, Portlaoise, Co. Laois","R32 NR29","2024-11-22","300000","647123.34","698380.24"
"22/35","88 Marian Avenue, Portlaoise, Co. Laois","R32 YY3Y","2025-08-12","160000","646283","697839.65"
"23/07","Old Knockmay Road, Portlaoise, Co. Laois","R32 D70X","2023-07-24","80000","646497.31","698251.47"
"23/09","16 Main Street, Portlaoise, Co. Laois","R32 PT6Y","2024-03-26","300000","647214.94","698394.96"
"23/10","32 Grattan Street, Portlaoise, Co. Laois","R32 PTR9","2023-09-29","180000","646654.170000","698335.94"
"24/06","39 Broomville, Portlaoise, Co. Laois","R32 K8RP","2026-01-12","250000","648316.92","699326.59"
"24/07","55 Broomville, Portlaoise, Co. Laois","R32 K6WV","2024-07-23","250000","648331.68","699255.2"
"24/10","Beechfield House, Green Road, Portlaoise, Co. Laois","R32 A7NE","2025-08-12","295000","646625.46","698755.41"
"25/19","rear of Applegreen, Dublin Road, Portlaoise, Co. Laois","","2026-04-27","","648506","699081.00"
"20/38","Church Street, Rathdowney, Co. Laois","R32 XK13","2024-02-08","30000","627869.9","678376.46"
"20/44","The Square, Rathdowney, Co. Laois","R32 Y392","2024-05-23","45000","628116.3","678368.53"
"23/05","Ossory Street, Rathdowney, Co. Laois","R32 V1H7","2024-06-14","160000","628015.00","678301.00"
"23/06","Ossory Street, Rathdowney, Co. Laois","R32 RY24","2024-06-14","150000","628006.14","678331.62"
"25/23","Conoboro Road, Rathdowney, Co. Laois","R32 C2R0","2026-03-12","","628768","678247"
"20/08","Main Street, Stradbally, Co. Laois","","2021-06-22","80000","657404.00","696121.00"
"20/12","Presentation Convent Chapel, Main Street, Stradbally, Co, Laois","","2021-03-01","200000","657237.00","696306.00"
"21/21","Vicarstown, Co. Laois","","2022-12-16","50000","661225.00","700409.00"
