ref,address,eircode,electoral_area,valuation,ds_x,ds_y
"DS-003-91","2 Wellesley Lane, Limerick.","","Limerick City West","15000","557105","656491"
"DS-004-91","1 Wellesley Lane, Limerick.","","Limerick City West","15000","557104","656486"
"DS-011-04","The Square, Kilfinane, Co. Limerick.","","Cappamore/Kilmallock","25000","568027","623067"
"DS-001-05","Market House, Kilfinane, Co. Limerick.","","Cappamore/Kilmallock","9000","567996","623078"
"DS-005-05","Glengort Schoolhouse, Tournafulla, Co. Limerick.","","Newcastle West","10000","520539","624034"
"DS-001-07","Corgrigg, Foynes, Co. Limerick.","","Adare/Rathkeale","95000","525386","651379"
"DS-007-08","Ballyneety North, Templebredon, Co. Limerick.","","Cappamore/Kilmallock","35000","577933","640530"
"DS-017-12","86 Lenihan Avenue, Limerick.","V94 1H98","Limerick City West","32000","557624","655941"
"DS-016-12","Locke House, Canal Bank, Limerick.","","Limerick City East","60000","558261","657459"
"DS-015-11","Canal Bank House, Canal Bank, Limerick.","","Limerick City East","70000","558276","657464"
"DS-008-13","Properties at Woolworths Lane, Limerick.","","Limerick City West","60000","557542","656905"
"DS-078-17","Main Street, Ballingarry, Co. Limerick.","V94 W6DF","Adare/Rathkeale","140000","541315","636159"
"DS-100-17","1 Long Lane, Sir Harry's Mall, Limerick.","","Limerick City North","50000","558061","657562"
"DS-101-17","2 Long Lane, Sir Harry's Mall, Limerick.","","Limerick City North","25000","558067","657561"
"DS-110-17","Bothar Buí, Newcastle West, Co. Limerick","","Newcastle West","25000","528100","633502"
"DS-003-12","90 Lenihan Avenue, Prospect, Limerick.","V9403P2","Limerick City East","20000","557631","655932"
"DS-046-18","2 Colbert Terrace, Abbeyfeale, Co. Limerick.","V94T9Y0","Newcastle West","20000","511500","626922"
"DS-045-18","3 Colbert Terrace, Abbeyfeale, Co. Limerick","","Newcastle West","20000","511505","626917"
"DS-044-18","4 Colbert Terrace, Abbeyfeale, Co. Limerick","","Newcastle West","22500","511511","626912"
