ref,address,eircode,date_entered,valuation
"DS 509","34 Quay St. Dundalk (Former Danny Boys Bar)","","2021-11-12","140000"
"DS 540","Former NV Niteclub, Carrickcarnon, Co. Louth","","2022-06-10","450000"
"DS 596","74-76 West Street, Drogheda","","2023-01-23","200000"
"DS 578","13 Trinity Street, Drogheda","","2023-01-25","80000"
"DS 630","Mullach Alainn, Omeath","","2023-01-31","450000"
"DS 571","34 Ship Street, Drogheda","","2023-02-03","15000"
"DS 584","Former Bank, 3 Marsh Road, Drogheda","","2023-02-03","70000"
"DS 604","3 Mill Lane, Drogheda","","2023-02-03",""
"DS 605","6 Mill Lane, Drogheda","","2023-02-03",""
"DS 606","7 Mill Lane, Drogheda","","2023-02-03","50000"
"DS 608","9 Mill Lane, Drogheda","","2023-02-03",""
"DS 609","10 Mill Lane, Drogheda","","2023-02-03",""
"DS 610","11 Mill Lane, Drogheda","","2023-02-03",""
"DS 611","Apartment 7 Mill Lane, Drogheda","","2023-02-03",""
"DS 612","Apartment 7a Mill Lane, Drogheda","","2023-02-03",""
"DS 623","8 St Laurence Street, Drogheda","","2023-02-03","150000"
"DS 624","9 St Laurence Street, Drogheda","","2023-02-03","250000"
"DS 616","43-44 West Street, Drogheda","","2023-02-22","200000"
"DS 621","4 Stockwell Street, Drogheda","","2023-02-23","80000"
"DS 477","52 Narrow West St, Drogheda","","2023-06-06","70000"
"DS 478","51 Narrow West St, Drogheda","","2023-06-06","150000"
"DS 479","50 Narrow West St, Drogheda","","2023-06-06","100000"
"DS 480","49 Narrow West St, Drogheda","","2023-06-06","90000"
"DS 481","48 Narrow West St, Drogheda","","2023-06-06","70000"
"DS 485","14 Trinity St Drogheda","","2023-08-08","125000"
"DS 514","15 Trinity St Drogheda","","2023-08-08","150000"
"DS 562","17 Ship St Drogheda","","2023-08-08",""
"DS 2023 001","83 Strand Street, Clogherhead Allwell House/Duke House, Duke St","","2024-03-11","120000"
"DS 2023 010","Drogheda","","2025-07-07","250000"
"DS 2023 016","35 Irish Street, Ardee","","2024-03-11","150000"
"DS 2023 047","Bridge Street, Ardee A92 K67D","A92 K67D","2024-03-11","150000"
"DS 2023 048","Hale Street, Ardee","","2024-03-11","200000"
"DS 568","26 Ship Street, Drogheda, Co Louth","","2023-03-10",""
"DS 627","33 Seatown Place, Dundalk A91 E7V7","A91 E7V7","2024-03-14","300000"
"DS 187","Main Street, Castlebellingham","","2024-04-10","175000"
"DS 2023 041","33 Irish Street, Ardee","","2024-05-21","250000"
"DS 2023 058","Viki's Motors, Dublin Road, Dundalk","","2024-05-21","125000"
"DS 2023 046","Irish Street, Ardee","","2024-10-24","300000"
"DS 2024 020","Philipstown, Co Louth","","2024-10-24","50000"
"DS 588","7 Market Street, Dundalk","","2024-11-20",""
"DS 589","9 Market Street, Dundalk","","2024-11-20",""
"DS 591","13 Market Street, Dundalk","","2024-11-20",""
"DS 595","Donaghy's Mill, Drogheda","","2024-12-03","620000"
"DS 615","72 West Street, Drogheda","","2024-12-05","175000"
"DS 2023 069","St Kevin's, Carrickmacross Rd, Dundalk","","2025-01-07","125000"
"DS 2024 005","Former Public House, Main St, Dunleer","","2025-01-07","133200"
"DS 2024 026","Cottage, Annagassan A92 WY84","A92 WY84","2025-01-07","250000"
"DS 2024 031","58-62 Barrack Street, Dundalk","","2025-01-08","150000"
"DS 2023 025","4 Seatown Place, Dundalk","","2025-01-16","300000"
"DS 2024 033","21 Williamsons Place, Dundalk","","2025-01-27","125000"
"DS 2023 070","PJ Carroll Bldg,38-39 Church St,Dundalk","","2025-02-19","400000"
"DS 2024 024","5 St Joseph's Tce, Drogheda","","2025-03-25","150000"
"DS 2023 018","23 Francis Street, Dundalk","","2025-05-01","450000"
"DS 2025 019","64 Barrack Street, Dundalk, A91 E9A2","A91 E9A2","2025-05-01","135000"
"DS 2024 044","Ferrard House, Hacketts Cross, Clogherhead","","2025-05-15","250000"
"DS 2025 003","Abbey Shopping Centre, West St, Drogheda","","2025-05-15","750000"
"DS 2025 004","4 Boyne Terrace, Cord Road, Drogheda","","2025-05-15","195000"
"DS 2025 010","Spiders Web, Carrickmacross Rd, Dundalk","","2025-05-15","300000"
"DS 2024 040","7 Dyer Street, Drogheda A91 N22","","2025-06-30","80000"
"DS 2025 012","7 Barrackfield, Clogherhead A92 EP92","A92 EP92","2025-07-07","150000"
"DS 2025 014","Crossans Garage, Dublin Road, Dundalk","","2025-07-07",""
"DS 2023 013","3 former dwellings, Brewery St, Castlebellingham","","2025-08-13","400000"
"DS 2025 042","5 St Brigid's Terrace, Dundalk Road, Dunleer","","2025-08-20","150000"
"DS 2025 001","4 St Mary's Road, Dundalk A91 E9RL","A91 E9RL","2025-09-08","195000"
"DS 2023 063","Former Drg Chem Manure Wrks, Marsh Rd, Drog","","2025-10-15","1750000"
"DS 625","7 George's Street, Drogheda, Co Louth","","2025-11-12","150000"
"DS 2025 009","Dublin House, Station Road, Omeath","","2025-11-18",""
"DS 2025 043","6 Anne Street, Drogheda","","2025-11-20","150000"
"DS 2025 045","3 Bolton Street, Drogheda","","2026-01-12",""
"DS 2025 046","4 Bolton Street, Drogheda","","2026-01-12",""
"DS 2025 025","Santa Barbara, Jervis Street, Ardee","","2026-01-12",""
"DS 2023 062","Sawmills House, Marsh Road, Drogheda","","2026-03-05",""
"DS 2026 005","Dwelling, Drogheda Street, Collon","","2026-04-13",""
"DS 2025 057","Dwelling, Main Street, Dunleer","","2026-04-14",""
