ref,address,eircode,date_entered,valuation
"DS40/103","15 Humbert Street, Ballina, Co Mayo","","2019-10-16","80000"
"DS2024/17","Lidl House, Bohernasup, Ballina, Co Mayo F26 X5P9","F26 X5P9","2024-10-07","90000"
"DS40/108","""Stephanie's Hair Salon"", Abbey Street, Abbeyhalfquarter, Ardnaree South, Ballina, Co Mayo F26XT63","F26 XT63","2019-10-16","40000"
"DS40/110","53 Lord Edward Street, Ballina, Co Mayo","","2019-11-29","29000"
"DS40/114","26 Roche's Terrace, Ballina, Co Mayo","","2019-11-29","29000"
"DS40/115","36 Lord Edward Street, Ballina, Co Mayo","","2019-10-30","27000"
"DS40/116","3 Tyrawley Terrace, Ballina, Co Mayo","","2019-10-31","33500"
"DS40/118","22 Tyrawley Terrace, Ballina, Co Mayo F26 C8Y6","F26 C8Y6","2019-11-29","125000"
"DS40/119","43 Tyrawley Terrace, Ballina, Co Mayo","","2019-10-30","25000"
"DS40/121","Lower Bunree Road, Ballina, Co Mayo","","2019-10-18","25000"
"DS40/122","Lower Bunree Road, Ballina, Co Mayo","","2019-10-18","25000"
"DS40/123","Bunree Road, Ballina, Co Mayo","","2019-10-30","25000"
"DS40/126","Abbey Street, Abbeyhalfquater, Ardnaree South, Ballina, F26 R6D2","F26 R6D2","2019-10-24","62000"
"DS40/128","2 Nally Street, Ballina, Co Mayo","","2019-10-24","70000"
"DS40/131","4 Ferran Terrace, Ballina, Co Mayo","","2019-10-24","45000"
"DS40/132","12 Tyrawley Terrace, Ballina, Co Mayo","","2019-11-29","125000"
"DS40/133","27 Roche's Terrace, Ballina, Co Mayo","","2020-02-06","26000"
"DS40/141","""Pinocchio's"", O'Rahilly Street, Ballina, Co Mayo","","2019-11-04","60000"
"DS40/142","James Connolly Street, Ballina, Co MayoF26 VPP3","","2019-11-04","56500"
"DS40/143","27 Corcoran's Terrace, Ballina, Co Mayo F26 W889","F26 W889","2019-11-19","80000"
"DS40/145","""Manse"", Walsh Street, Ballina, Co Mayo","","2019-10-30","60000"
"DS40/150","12 Convent Terrace, McDermott Street, Ballina, Co Mayo F26 R2Y1","F26 R2Y1","2019-11-07","100000"
"DS40/157","McDermott Street, Ballina, Co Mayo","","2020-02-07","50000"
"DS40/159","Lord Edward Street, Ballina, Co Mayo F26 EP30.","F26 EP30","2020-07-17","70000"
"DS40/160","Becket' s Saw Mill, Barret Street, Ballina, Co Mayo","","2020-03-04","100000"
"DS40/164","The Brook, Ballina, Co Mayo F26 H9K8","F26 H9K8","2020-03-04","50000"
"DS40/165","The Brook, Ballina, Co Mayo F26 F6P6","F26 F6P6","2020-03-04","50000"
"DS40/166","The Brook, Ballina, Co Mayo F26 H9K8","F26 H9K8","2020-04-20","170000"
"DS40/174","20 Healy Terrace, Ballina, Co Mayo","","2020-09-03","100000"
"DS40/175","16 Healy Terrace, Ballina, Co Mayo","","2020-01-06","10000"
"DS40/180","Clare Street, Ballina, Co Mayo","","2020-09-03","50000"
"DS40/184","Un-Used Land, Castlefield Manor, Kilmoremoy, Ballina, Co Mayo","","2023-10-05","90000"
"DS40/187","Arbuckle Row, Ballina, Co Mayo F26 V1F2.","F26 V1F2","2023-12-20","150000"
"DS40/188","68 Lord Edward Street, Ballina, Co Mayo F26 K104.","F26 K104","2024-01-17","70000"
"DS40/190","8 St. Enda's Villas, Ballina, Co Mayo","","2024-09-17","50000"
"DS40/191","No. (9) St. Enda's Villa's Ballina, Co Mayo F26 Y9P0.","F26 Y9P0","2024-03-13","75000"
"DS40/195","Property 1 Barrett Street, Ballina, Co Mayo F26 C3W2","F26 C3W2","2024-03-13","60000"
"DS40/196","Property 100 Barrett Street, Ballina, Co Mayo F26 C3W2, adjoining, (Old Forge Building)","F26 C3W2","2024-03-13","40000"
"DS40/200","No. 26 James Connolly Street, Ballina, Co Mayo F26 E4F5.","F26 E4F5","2024-04-18","80000"
"DS40/194","38 Ferran Terrace, Ballina, Co Mayo F26 K7W1","F26 K7W1","2024-01-17","90000"
"DS40/41","4 Tyrawley Terrace, Ballina","","2019-02-25","100000"
"DS40/49","Teeling Street, Ballina, Co Mayo","","2019-06-27","40000"
"DS40/57","O'Rahilly Street, Ballina, F26 K803 (Garveys Bakery)","F26 K803","2019-07-11","80000"
"DS40/68","Old Mill, Bunree Road, Ballina","","2011-11-08","200000"
"DS40/72","10 Tyrawley Terrace, Ballina, Co Mayo","","2011-11-10","28000"
"DS40/76","Entrance to ""The Hawthorns"", Killala Road, Ballina","","2011-11-14","30000"
"DS40/83","Old Mill,Knocknalyre, Sligo Road, Ballina","","2014-11-24","70000"
"DS40/87","88 Lord Edward Street, Ballina, Co Mayo","","2019-10-31","32000"
"DS40/90","McDermott Street, Ballina, Co Mayo","","2024-05-09","80000"
"DS40/91","""Pet Stop Discount Warehouse"", Kevin Barry St., Ballina,Co Mayo F26 A073","F26 A073","2019-08-01","23000"
"DS40/94","""Diamond Memorials"", Teeling St., Ballina","","2019-08-01","80000"
"DS40/98","2 St. Muredach's Terrace, Ballina","","2019-07-04","60000"
"DS40/99","12 St. Muredach's Terrace, Ballina F26 NY56","F26 NY56","2025-09-10",""
"DS2024/03","6 Rath Glas, Rehinsfort, Ballina, Co Mayo F26 DTR2","F26 DTR2","2024-06-05","180000"
"DS2024/04","Killala Road, Ballina, Co Mayo F26 DTR2","F26 DTR2","2024-07-02","250000"
"DS2024/06","Foxford Road, Ballina, Co Mayo F26 K4D&","","2024-07-02","100000"
"DS2024/12","15 James Connolly Street, Ballina, Co Mayo F26 A2Y1","F26 A2Y1","2025-09-09","75000"
"DS2024/23","Tyrawley House, McDermott Street, Ballina, Co Mayo F26 R5P3","F26 R5P3","2025-01-08",""
"DS2024/28","14 James Connolly Street, Ballina, Co Mayo F26 T8N4","F26 T8N4","2025-05-07","70000"
"DS2025/01","47 Tyrawley Terrace, Ballina, Co Mayo F26 HF96","F26 HF96","2025-03-05",""
"DS2025/02","No. 8 Convent Hill Grove, Ballina, Co Mayo F26 X9N9","F26 X9N9","2025-03-07",""
"DS2025/03","2 Oaklawn, Killala Road, Ballina, F26 P6P2","F26 P6P2","2025-03-07",""
"DS2025/04","3 Oaklawn, Killala Road, Ballina, F26 D6C7","F26 D6C7","2025-03-07",""
"DS2025/05","26 Mount Assumpta, Ballina, F26 D4R2","F26 D4R2","2025-03-07",""
"DS2026/23","The Brook, Abbeyhalfquarter, Ballina, Co Mayo","","2026-02-20",""
"DS2026/22","Plunkett Road, Ballina, Co Mayo","","2026-02-20",""
"DS2026/21","5 Plunkett Road, Ballina, Co Mayo F26 P7X3","F26 P7X3","2026-02-20",""
"DS01/20","Main Street, Ballycastle, Co Mayo","","2020-09-03","40000"
"DS01/23","Main Street, Ballycastle, Co Mayo","","2020-02-06","50000"
"DS16/14","Church Street, Crossmolina","","1991-07-12","27000"
"DS16/29","Kilmurrymore, Rake St., Crossmolina, Co Mayo","","2022-01-20","40000"
"DS16/31","""Corcoran's"", Ballina Street, Crossmolina, Co Mayo","","2021-04-15","40000"
"DS16/38","Erris Street, Crossmolina, Co Mayo","","2019-10-23","25000"
"DS16/39","Erris Street, Crossmolina, Co Mayo","","2019-10-23","50000"
"DS16/40","""Boys National School"", Chapel Street, Crossmolina","","2019-12-11","100000"
"DS16/43","Church Street, Crossmolina, Co Mayo F26NY86","F26 NY86","2019-10-24","50000"
"DS16/45","Ballina Street, Crossmolina, Co Mayo","","2020-02-05","40000"
"DS10/13(b)","George Street, Killala, Co Mayo","","1991-07-15","10000"
"DS10/37","Georges Street, Killala, Co Mayo","","2019-10-24","80000"
"DS10/38","Market Street, Killala, Co Mayo","","2020-09-03","35000"
"DS10/41","Market Street, Killala, Co Mayo","","2019-10-24","40000"
"DS10/42","Market Street, Killala, Co Mayo","","2019-10-24","30000"
"DS10/43","Market Street, Killala, Co Mayo","","2019-10-24","35000"
"DS10/45","""Warehouse/Grainstore"", Courthosue Street, Killala, Co Mayo","","2019-10-24","50000"
"DS10/46","Market Street, Killala, Co Mayo","","2019-10-31","40000"
"DS10/47","The Acres, Killala, Co Mayo","","2019-10-23","20000"
"DS10/48","Barrack Street, Killala, Co Mayo F26 NW64","F26 NW64","2019-12-11","50000"
"DS10/50","Church Street, Killala, Co Mayo","","2019-10-23","50000"
"DS10/52","R314, Gore Street, Killala, Co Mayo F26 CR94","F26 CR94","2024-03-13","70000"
"DS2024/16","43 Woodview Court, Killala, Co Mayo F26 FV32","F26 FV32","2024-10-15","70000"
"DS2024/18","George's Street, Killala, Co Mayo","","2025-01-08",""
"DS30/01","Steelaun, Rathfran, Carrowmore Lacken, Ballina, Co Mayo","","2022-09-01","150000"
"DS42/03","""Woodside Motors"", Claremorris Road, Balla, Co Mayo","","2020-02-05","80000"
"DS42/04","Main Street, Balla, Co Mayo","","2020-02-05","40000"
"DS42/06","Main Street, Balla, Co Mayo F23 H429","F23 H429","2020-02-05","100000"
"DS42/08","Main Street, Balla, Co Mayo F23 YH30","F23 YH30","2021-09-21","140000"
"DS2024/19","Semi-detached structure adjacent to former Garda Station, Ballyglass, Claremorris, Co Mayo","","2025-01-08",""
"DS43/01","""Ballyvary House"", Main Street, Ballyvary, Castlebar, Co Mayo F23 CH64","F23 CH64","2020-02-17","70000"
"DS39/03","""Heneghan's"", Belcarra, Castlebar, Co Mayo","","2020-02-17","160000"
"DS2025/32","Belcarra, Castlebar, Co Mayo F23 YY93","F23 YY93","2025-08-27",""
"DS2025/33","Belcarra, Castlebar, Co Mayo F23 KN72","F23 KN72","2025-08-27",""
"DS41/01","Ellison Street, Castlebar","","2015-01-05","200000"
"DS41/02","Newport Rd., Castlebar","","2017-01-30","50000"
"DS41/03","Newport Rd., Castlebar","","2017-01-30","50000"
"DS41/14","Lower Charles Street, Castlebar","","2016-01-21","45000"
"DS41/17","Saleen Property Site 2F","","2019-06-28","140000"
"DS41/18","Quinns, Mountain View, Co Mayo","","2019-04-09","150000"
"DS41/21","Gavin and Brennan Buildings, Knockthomas, Castlebar, Co Mayo F23 YW65","F23 YW65","2020-02-17","300000"
"DS41/23","Site H: Brennan's Yard, Knockthomas, Castlebar, Co Mayo","","2020-02-28","200000"
"DS41/24","Former Commercial Premises, Newport Road, Castlebar, Co Mayo F23E297","F23 E297","2021-11-04","60000"
