ref,address,eircode,date_entered,valuation,itm_x,itm_y
"DSN 6/16","Old Health Centre, Lower Main St, Ballybay, Co. Monaghan","","2016-07-28","80000","671862","820257"
"DSN 8/16","Cinema Site, Fermanagh Street, Clones, Co. Monaghan","","2017-09-06","12000","650110","825933"
"DSN 9/16","1 Old Cross Square, Monaghan H1W2738","","2016-08-18","45000","667387","833614"
"DSN 10/16","2 Old Cross Square, Monaghan H18","","2017-05-05","40000","667388","833610"
"DSN 19/16","Keady Road, Castleblayney, Co Monaghan","","2017-12-20","70000","682644","820360"
"DSN 24/16","North Road, Monaghan, Co. Monaghan","","2016-11-10","15000","667075","833792"
"DSN 7/17","Lennard Arms Hotel, Analore H23 St/McCurtain St, Clones, Co. Monaghan","","2017-09-01","40000","650182","825771"
"DSN 3/18","Coolshannagh, Monaghan (Barrack Lane)","","2024-04-15","240000","667460","834520"
"DSN 1/20","Main Street, Newbliss, Co. Monaghan H18","","2020-11-11","","",""
"DSN 2/21","2 Cara Street, Clones, Co. Monaghan","","2022-06-16","","656243","823404"
"DSN 4/21","Kincora House, Newtownbutler Road, Clones, Co. Monaghan","","2022-04-07","120000","649668","825962"
"DSN 6/21","98 Avenue/Lower Fermanagh Street, H23 Clones, Co. Monaghan","","2022-04-07","200000","649976","826132"
"DSN 8/21","McCurtain Street, Clones, Co. Monaghan","","2022-01-31","","",""
"DSN 2/22","Lower Main Street, Newbliss, Co. H18 Monaghan","","2024-09-18","","650166","825703"
"DSN 3/22","Lower Main Street, Newbliss, Co. H18 Monaghan","","2024-08-28","40000","656230","823363"
"DSN 4/22","Lower Main Street, Newbliss, Co. H18 Monaghan","","2022-06-16","40000","656233","823372"
"DSN 7/22","Derryveagh, Carrickroe, Co. Monaghan - Folio MN23422F","","","","",""
"DSN 8/24","19 Dublin St, Monaghan H18","","2023-03-22","","663260","845932"
"DSN 9/24","47 Dublin Street, Monaghan, Co. H18 Monaghan,","","2025-07-16","120000","667335","833720"
"DSN 17/24","Main Street, Newbliss, Co. Monaghan H18","","","","",""
"DSN 19/24","Scotshouse Rd, Newbliss, Co. Monaghan H18","","2024-06-12","","656316","823510"
"DSN 22/24","Newtownbutler Rd, Clones, Co. H23 Monaghan","","2024-06-24","110000","649664","825963"
"DSN 24/24","1 Oakview, Clones, Co. Monaghan H23","","2024-06-24","95000","650374","825674"
"DSN 25/24","Main Street, Ballybay, Co. Monaghan A75","","2025-09-15","150000","671742","820419"
"DSN 26/24","85 Main Street Ballybay, Co. Monaghan A75","","2024-07-04","65000","671765","820358"
"DSN 27/24","Muckno St, Castleblayney, Co. Monaghan A75","","2024-07-03","90000","682717","819956"
"DSN 28/24","Muckno St, Castleblayney, Co. Monaghan A75","","2024-09-04","95000","682716","819949"
"DSN 32/24","Main Street Ballybay, Co Monaghan","","2025-09-15","70000","671737","820372"
"DSN 34/24","Main Street Ballybay, Co Monaghan A75","","2025-09-15","70000","671744","820368"
"DSN 36/24","35 O’Neill Park, Clones, Co. Monaghan H23","","2024-10-01","45000","649876","826478"
"DSN 37/24","55 O’Neill Pk, Clones, Co. Monaghan H23","","2025-07-01","70000","649778","826422"
"DSN 40/24","13 Legar Cresent, Clones, Co. Monaghan H23","","2025-09-18","70000","650407","825624"
"DSN 41/24","Fitzpatrick Square, Newtownbutler Road, H23 Clones, Co Monaghan","","2024-07-04","180000","649898","826077"
"DSN 46/24","Main St, Ballybay, Co. Monaghan A75","","2024-09-17","65000","671692","820460"
"DSN 49/24","24 – 26 Main Street Carrickmacross, Co A81 Monaghan","","2025-09-25","225000","684063","803677"
"DSN 53/24","Market Sq, Castleblayney, Co. Monaghan A75 (Residential Building)","","2024-07-03","60000","682802","819783"
"DSN 54/24","Muckno St, Castleblayney, Co. Monaghan A75 (Commercial Building)","","2024-07-03","40000","682800","819789"
"DSN 55/24","5 Muckno Street, Castleblayney, Co. A75 Monaghan,","","2025-07-29","90000","682718","820028"
"DSN 56/24","Muckno Street, Castleblayney, Co. A75 Monaghan","","","","",""
"DSN 59/24","14A O'Neill St, Carrickmacross, Co. A81 Monaghan","","2024-08-28","","682742","820056"
"DSN 61/24","11 McCurtain St, Clones, Co. Monaghan H23","","2024-09-18","100000","650163","825701"
"DSN 62/24","31 Park Street, Monaghan, Co. H18 Monaghan,","","2025-09-30","100000","666937","833600"
"DSN 63/24","1-6 Ascaill Rois, Magheraboy Rd, Carrickmacross, Co. Monaghan","","2026-02-20","","683958","802775"
"DSN 65/24","26 Emmet Street, Carrickmacross, Co. A81 Monaghan,","","2024-08-28","60000","684275","803584"
"DSN 71/24","Assembly Rooms, Dawson St, Monaghan","","2024-07-10","325000","667074","833623"
"DSN 72/24","117 Lower Main St, Ballybay, Co. A75 Monaghan","","2024-07-04","75000","671840","820228"
"DSN 73/24","15 Dublin St, Monaghan H18","","2024-07-11","312000","667320","833713"
"DSN 79/24","3 Church View, Chapel Lane, A81 Carrickmacross, Co. Monaghan","","2025-03-24","150000","684084","803833"
"DSN 82/24","105 Main St Lwr, Ballybay, Co. Monaghan A75","","2024-09-11","80000","671819","820290"
"DSN 85/24","103 Main St Lwr, Ballybay, Co. Monaghan A75","","2024-09-11","100000","671819","820295"
"DSN 89/24","Garda Station, Smithborough, Co. H18 Monaghan","","2025-11-03","250000","658853","830656"
"DSN 92/24","Church Street, Castleblayney Co. Monaghan","","2026-02-17","230000","682775","819545"
"DSN 93/24","Coolshannagh, Monaghan","","2025-10-10","75000","667802","834785"
"DSN 95/24","Ivy Lane, Carrickmacross, Co. Monaghan A81","","2025-07-08","100000","683963","803762"
"DSN 96/24","Ivy Lane, Carrickmacross, Co. Monaghan A81","","2024-10-08","130000","683975","803751"
"DSN 98/24","Abbey Lane, Clones, Co. Monaghan","","2024-10-21","70000","650220","825710"
"DSN 103/24","Church Street, Castleblayney, Co. Monaghan","","2024-09-11","50000","682754","819598"
"DSN 104/24","Market Sq, Castleblayney, Co. Monaghan A75","","2024-09-11","85000","682747","819813"
"DSN 105/24","Muckno St, Castleblayney, Co. Monaghan A75","","2024-10-08","65000","682746","819864"
"DSN 107/24","Paragon Site, Fermanagh St, Clones, Co. Monaghan","","2025-07-07","75000","650105","825934"
"DSN 108/24","The Diamond, Clones, Co. Monaghan H23","","2024-09-18","130000","650196","825843"
"DSN 109/24","Lands at Liseggerton, Clones, Co. Monaghan","","2025-07-15","100000","649604","826975"
"DSN 111/24","Farmyard, O’Duffy Street, Clones, Co. Monaghan","","2025-09-23","100000","650315","825728"
"DSN 112/24","3 Church Street, Ballybay, Co. Monaghan A75","","2026-03-30","90000","671825","820385"
"DSN 113/24","12 Castleblayney Rd, Ballybay, Co. A75 Monaghan","","","","",""
"DSN 114/24","Cooltrimegish, Co. Monaghan, Lough Egish","","2024-09-17","","671836","820610"
"DSN 1/25","Gospel Hall, Glen Road, Monaghan, Co. H18 Monaghan","","2025-09-30","80000","667059","833145"
"DSN 7/25","9 Plantation Terrace, Monaghan H18XK64","","","","",""
"DSN 8/25","11 Hillside Monaghan H18","","2025-05-19","","667259","834080"
"DSN 9/25","Plot of ground in the townland of Edenamo, Inniskeen, Co. Monaghan","","2025-11-19","600000","692673","806809"
"DSN 11/25","16 High Street, Monaghan H18","","2025-10-10","175000","666910","833965"
"DSN 13/25","3 Monaghan Street, Carrickmacross A81","","2025-09-15","30000","684031","803963"
"DSN 14/25","Lands to the rear of 68 Main St, Carrickmacross, Co. Monaghan","","2025-07-08","30000","684056","803886"
"DSN 18/25","5 St Patrick Street, Ballybay Co Monaghan","","2025-09-15","120000","671667","820688"
"DSN 20/25","4 Church Street, Ballybay, Co. Monaghan A75","","2026-03-30","80000","671833","820387"
"DSN 21/25","5 Ballybay Road, Monaghan, Co. H18 Monaghan","","2025-09-30","125000","667397","832512"
