ref,address,eircode,date_entered,valuation
"DS 003","The Angler's Rest, Ballinafad, Co Sligo","","2008-01-12","50000"
"DS 008","Main Street, Enniscrone, Co Sligo","","2007-07-24","150000"
"DS 019","Ardnaglass Upper, Grange, Co Sligo","","2010-06-18","5000"
"DS 020","Tawnymucklagh, Monasterraden, Co Sligo","","2007-05-17","10000"
"DS 044","15, Connolly Park, Tubbercurry, Co. Sligo","","2022-01-27","35000"
"DS 046","Carrowhubbock South, Enniscrone, Co. Sligo","","2008-11-28","50000"
"DS 047","The Hollow, Enniscrone, Co. Sligo","","2011-01-12","30000"
"DS 074","Old Street, Collooney, Co Sligo - Former Crystal factory","","2010-10-02","75000"
"DS 080","Cissy's Macs Drumcliffe","","2012-04-30","85000"
"DS 104","Former Creche, Rathbraughan Park","","2022-06-09","50000"
"DS 108","18, 19, 33, 38 – 42 Barrack Street, Sligo","","2021-12-09","800000"
"DS 112","10, Chapel Street, Sligo - House","","2021-04-27","100000"
"DS 114","12, Chapel Street, Sligo - House","","2021-04-27","100000"
"DS 116","Westgardens, Sligo - Old Hall","","2003-10-21","40000"
"DS 117","Westgardens/Market Street, Sligo - Building Property B","","2003-10-21","20000"
"DS 118","Westgardens/Market Street, Sligo - Building Property C","","2003-10-21","30000"
"DS 160","18, Connolly Park, Tubbercurry, Co. Sligo","","2022-01-27","45000"
"DS 175","61, St. Joseph's Terrace, Sligo","","2019-12-04","96000"
"DS 178","7 Knock Terrace, Wolfe Tone Street - House","","2021-06-17","200000"
"DS 189","29, Chapel Street, Sligo","","2021-04-15","60000"
"DS 192A","1, Lower Quay Street, Sligo","","2022-07-21","30000"
"DS 192B","2, Lower Quay Street, Sligo","","2022-07-21","30000"
"DS 204","3, Dominick Street, Sligo","","2023-02-28","100000"
"DS 210","13, Market Street","","2023-03-16","75000"
"DS 235","Site at junction of Fatima Avenue and Cemetery Road, Sligo","","2024-02-26","175000"
"DS 222","Property at Carrowhubback South, Main Street, Enniscrone, Co. Sligo","","2024-04-09","120000"
"DS 245","16/17 High Street, Sligo","","2024-06-14","190000"
"DS 89","Knockaculleen, Dromore West, Co. Sligo","","2024-08-29","25000"
"DS 81","Farnaharpy, Skreen, Co. Sligo","","2024-09-13","5000"
"DS 262","9 Adelaide Street, Sligo","","2025-01-16","100000"
"DS 263","10 Adelaide Street, Sligo","","2025-01-16","100000"
"DS 264","11 Adelaide Street, Sligo","","2025-01-16","100000"
"DS 217","57 St Joseph's Terrace, Sligo","","2025-02-07","85000"
"DS 266","23 Wolfe Tone Street, Sligo F91 EN26","F91 EN26","2025-03-21","175000"
"DS 281","Building at Swan Point, Fish Quay, Sligo","","2025-04-01","1000000"
"DS 176","The Mill Apartments, Ballisodare, Co. Sligo","","2025-06-03","350000"
"DS 100","High Street, Market Street, Sligo (Old Savoy Cinema)","","2025-06-13","300000"
"DS 241","25 High Street, Sligo","","2025-06-17","250000"
"DS 265","1 Wolfe Tone Street, Sligo","","2025-06-18","150000"
"DS 177","Old Dispensary Building, Charles Street, Sligo","","2025-07-25","150000"
"DS 202","2 St. Asicus Terrace, Riverside, Sligo","","2025-08-15","125000"
"DS 215","17 The Mall, Sligo","","2025-08-15","250000"
"DS 270","Hazelwood, Ballinode, Sligo","","2025-09-12","150000"
"DS 205","Holborn Street, Sligo F91 YT91","F91 YT91","2025-10-02","120000"
"DS 464","Premier Ch Construction Limited","","2026-05-15",""
