ref,address,eircode,date_entered,easting,northing
"ENV-C-97-201","Old Technical School Clogheen, Co Tipperary","","1998-07-14","200491","113884"
"ENV-C-03-269","Lattin, Co Tipperary","","2008-05-15","181476.956","135132.5"
"ENV-C-05-277","Kilross, Co Tipperary","","2008-06-25","180644","131259"
"ENV-C-91-93","Kilcoran, Cahir, Co Tipperary","","2008-08-07","198782","121767"
"ENV-C-03-268","Shronell, Lattin, Co Tipperary","","2008-10-03","181518","135163"
"ENV-C-10-04","Old Co-op Building, Main St, Clogheen, Co Tipperary","","2012-02-22","200264","113720"
"ENV-C-11-04","Carrick Street, Mullinahone, Co. Tipperary.","","2012-02-28","233625","140096"
"ENV-C-11-05","Kickham Street, Mullinahone, Co Tipperary E41R602","E41 R602","2023-06-27","640204","633599"
"ENV-C-16-03","11 McDonagh, Street, Nenagh, Co. Tipperary","","2016-05-12","186845","179264"
"ENV-C-20-27-a","Ballingarry, Roscrea, Co. Tipperary, E53 YR88","E53 YR88","2021-10-06","",""
"ENV-C-20-27-b","Ballingarry, Roscrea, Co. Tipperary, E53 VH00","E53 VH00","2021-10-06","",""
"ENV-C-20-27-c","Ballingarry, Roscrea, Co. Tipperary, E53 Y983","E53 Y983","2021-10-06","",""
"ENV-C-20-09","2 Ormond Street, Nenagh, Co. Tipperary, E45 YP92","E45 YP92","2021-10-07","",""
"ENV-C-20-29","Former Shop, Church Road, Elm Park, Clonmel, Co. Tipperary","","2021-11-12","219537","123127"
"ENV-C-21-10","25, Glen Court, Emly, Co Tipperary E34 TR58","E34 TR58","2022-02-08","",""
"ENV-C-21-11","26, Glen Court, Emly Co. Tipperary E34 HH96","E34 HH96","2022-02-08","",""
"ENV-C-21-06","4 Westgate, Thurles, Co. Tipperary","","2022-03-29","212583","158589"
"ENV-C-20-19","Honey Cottage, Glennagat, Cahir, Co. Tipperary, E21 Y998","E21 Y998","2023-02-14","",""
"ENV-C-22-14","18 Kickham Street, Carrick on Suir, Co. Tipperary","","2023-02-14","",""
"ENV-C-22-2","No. 3 James St., Tipperary Town","","2023-02-14","",""
"ENV-C-22-6","Kickham Place, Tipperary Town E34HF10","E34 HF10","2023-02-14","",""
"ENV-C-23-12","3 Ikerrin, Road, Thurles, Co. Tipperary","","2023-03-22","613290","658917"
"ENV-C-22-13","11 Castle Street Carrick On Suir Clonmel","","2023-04-13","",""
"ENV-C-22-16","Ashbury Industrial Estate, (Former Offray Factory), Roscrea, Co. Tipperary","","2023-04-13","",""
"ENV-C-23-17","30 Bridge Street, Carrick on Suir, Co. Tipperary","","2023-05-11","",""
"ENV-C-11-05","Former Retail Premises, Kickham Street, Mullinahone, Co Tipperary","","2023-05-22","233654","140157"
"ENV-C-21-15","5 Kavanagh Place, Thurles, Co. Tipperary","","2023-06-11","",""
"ENV-C-20-24","1-2 Upper Gladstone Street, Clonmel, Co. Tipperary","","2023-07-18","",""
"ENV-C-20-22","44A O'Connell Street, Clonmel, Co Tipperary","","2023-07-19","",""
"ENV-C-21-07","Cottage, Clerihan, Clonmel, Co. Tipperary","","2023-07-19","",""
"ENV-C-16-16","""The Valley"" Fethard, Co Tipperary","","2023-08-08","220569","134819"
"ENV-C-17-5","Caulfields Supervalu, Bank Place, Tipperary Town","","2023-08-08","",""
"ENV-C-20-26","45 O'Connell Street, Clonmel, Co. Tipperary","","2023-08-08","",""
"ENV-C-23-32","4 Abbey Street, Nenagh, Co. Tipperary","","2023-08-08","",""
"ENV-C-23-36","10 Limerick Street, Roscrea, Co. Tipperary","","2023-10-02","613387","689288"
"ENV-C-18-18","10 Lowergate, Cashel, Co Tipperary","","2023-10-12","",""
"ENV-C-06-201","Former Hogans House, Kickham Street, Mullinahone","","2023-10-16","233654","140175"
"ENV-C-23-23","Lourdes Road, Roscrea, Co. Tipperary","","2023-10-16","613667","689601"
"ENV-C-23-37","2 Lower Dublin Road, Nenagh, Co. Tipperary","","2023-10-16","",""
"ENV-C-23-6","Camus Road, Cashel, Co. Tippeary, E25 NX32","E25 NX32","2023-10-18","",""
"ENV-C-23-7","Camus Road, Cashel, C. Tipperary, NX32(2)","","2023-10-18","",""
"ENV-C-14-8","8 Abbey Street Cahir","","2023-11-27","204790","125392"
"ENV-C-22-17","No. 1, O' Connell Road, Tipperary","","2023-11-27","",""
"ENV-C-23-39","20 Main Street, Carrick on Suir, Co. Tipperary","","2023-11-27","",""
"ENV-C-22-23","Tipperary Road, Cappawhite E34 X409","E34 X409","2023-12-22","",""
