ref,address,eircode,date_entered,valuation
"1","Williamstown, Balykeeran, Athlone, Co. Westmeath","","1991-07-02",""
"20","Buildings on rhs of Mullingar Rd, Kilbeggan, Co. Westmeath","","1991-07-02","50000"
"40","Cornamagh, Athlone, Co. Westmeath","","1991-10-04",""
"44","Ballykeeran, Athlone, Co. Westmeath","","1991-10-22","50000"
"73","Tanyard, Kinnegad, Co. Westmeath","","2011-02-17",""
"101","Ballynacarrigy Road, Kildallan, Co. Westmeath","","2011-08-02",""
"103","Main St, Rathwire, Co. Westmeath","","2010-02-05","100000"
"111","Glebe House, Killucan, Co. Westmeath","","2011-08-16","200000"
"114","R156, Killucan, Co. Westmeath","","2011-11-25","160000"
"120","14 Dublin Road, Kilbeggan, Co. Westmeath","","2007-12-18","40000"
"146","Mullingar Road, Kilbeggan, Co. Westmeath","","2011-07-28","40000"
"149","Lr Main Street, Kilbeggan, Co. Westmeath","","2018-02-28","60000"
"172","N6 Kilbeggan-Tyrrellspass Tyrrellspass, Co. Westmeath","","2012-11-22","70000"
"228","Creggan Upper, Moate Road, Athlone, Co. Westmeath","","2011-05-23","70000"
"246","Old Ballinderry, Mullingar, Co. Westmeath","","2011-10-24","100000"
"248","Clara Road, Moate, Co. Westmeath","","2011-06-10","140000"
"250","Clara Road, Moate, Co. Westmeath","","2011-04-26","50000"
"255","Dr. Cuppagies, Main Street, Moate, Co. Westmeath","","2009-08-04","400000"
"257","Creggan Upper, Moate Road, Athlone, Co. Westmeath","","2011-05-23","150000"
"262","High St., Ballymore, Co. Westmeath","","2012-11-14","100000"
"305","1 Trim Rd, Kinnegad, Co. Westmeath","","2010-11-08","150000"
"306","2 Trim Rd, Kinnegad, Co. Westmeath","","2013-03-14","150000"
"332","Railway Tce, Mullingar, Co. Westmeath","","2013-10-21",""
"372","Buds in Bloom, Kilbeggan, Co. Westmeath","","2012-11-22","60000"
"373","Ardmore Rd, Mullingar, Co. Westmeath","","2011-12-14",""
"380","Packenham Hall Rd, Castlepollard Castlepollard, Co. Westmeath","","2017-05-31","120000"
"403","54 Connaught Street, Athlone, Co. Westmeath","","2003-03-25","100000"
"435","118 Meadowbrook Athlone, Co. Westmeath","","2010-06-28","70000"
"436","120 Meadowbrook Athlone, Co. Westmeath","","2007-12-06","70000"
"441","14 - 15 Hazelwood, Athlone, Co. Westmeath","","2014-11-04","60000"
"468","Rear of 16 Court Devenish Athlone, Co. Westmeath","","2012-11-22","15000"
"471","Lower Retreat Rd Athlone, Co. Westmeath","","2012-09-14","60000"
"477","Connolly St Athlone, Co. Westmeath","","2013-09-27","60000"
"481","21 Thornbury Dr, Athlone, Co. Westmeath","","2010-08-24","100000"
"482","22 Thornbury Dr, Athlone, Co. Westmeath","","2010-12-21","110000"
"520","24 Toorvalley Moate, Co. Westmeath","","2013-09-17","25000"
"571","11 St Marys Tce/Place, Athlone, Co. Westmeath","","2014-11-04","90000"
"584","23 Parnell Square, Athlone, Co. Westmeath","","2014-03-27","90000"
"591","Windtown Pk Rathowen, Co. Westmeath","","2013-12-12","25000"
"603","45 Connaught Street, Athlone, Co. Westmeath","","2014-12-12","60000"
"627","Toorvalley Est. Moate, Co. Westmeath","","2015-03-24","300000"
"636","Kilbeggan, Brewery House, Co. Westmeath","","2016-07-19","50000"
"637","Mullingar Road, Kilbeggan, Co. Westmeath","","2016-07-19",""
"651","Cullionbeg, Mullingar, Co. Westmeath","","2017-05-31","170000"
"663","Pub at Junction of Trim Rd, Kinnegad, Co. Westmeath","","2020-12-03","300000"
"689","9 St Mary's Place, Athlone, Co. Westmeath","","2017-07-18","90000"
"690","10 St Mary's Place, Athlone, Co. Westmeath","","2017-07-18","60000"
"691","Main St, Delvin, Co. Westmeath","","2017-07-24","170000"
"713","Derravaragh Court, Castlepollard Castlepollard, Co. Westmeath","","2017-11-15","25000"
"729","Athlone Glass Site, Clonown Road, Doovoge, Athlone, Co. Westmeath","","2018-01-31","100000"
"754","The Bungalow, Mullingar Rd, Kinnegad N91 AX21, Co. Westmeath","N91 AX21","2020-12-15","150000"
"758","Former Hammond Lane, Bellaugh, Athlone, Co. Westmeath","","2023-07-05","60000"
"759","Former Texas Oil, Bellaugh, Athlone, Co. Westmeath","","2023-07-05","50000"
"761","Main Street, Moate, Co. Westmeath, N37 AK24","N37 AK24","2023-05-16","100000"
"762","Kilcleagh, Castledaly, Co. Westmeath, Moate","","2024-06-24","95000"
"770","23 Toorvalley Moate Co Westmeath","","2025-11-21","30000"
"771","Pearse Street & O'Connell Street, Athlone, Co. Westmeath","","2025-11-11",""
"773","4 Castlemine Street, Athlone or (Brideswells Street), Co. Westmeath","","2026-04-24",""
"774","2 Lower Road Athlone, Co. Westmeath","","",""
"775","Bower View Athlone, Co. Westmeath","","",""
"784","30 Sarsfield Square Athlone Co Westmeath","","",""
"785","58 Sarsfield Square Athlone Co Westmeath","","",""
"786","89 Sarsfield Square Athlone Co Westmeath","","",""
"787","112 Sarsfield Square Athlone Co Westmeath","","",""
