ref,address,eircode,date_entered,valuation
"DER2024-060","Wilmslow, The Avenue, Gorey, Co. Wexford","","2025-11-04",""
"DER2024-087","Galavan's Pub, 5 North Street, New Ross, Co. Wexford","","2025-10-06",""
"DER2024-046","34 Assumption Terrace, New Ross, Co. Wexford","","2025-10-06",""
"DER2024-076","7 Green Street, Wexford","","2025-10-06",""
"DER2024-028","15 Haughton Place, New Ross, Co. Wexford","","2025-09-15",""
"DER2023-089","31 Drumgoold Villas,Enniscorthy, Co. Wexford","","2025-09-09",""
"DER2024-079","Site at Clonard Road (Rear of Circle K Garage), Wexford","","2025-09-09",""
"DER2023-132","13 Priory Lane, New Ross, Co. Wexford","","2025-08-18",""
"DER2023-102","12 Priory Lane, New Ross, Co. Wexford","","2025-07-28",""
"DER2024-023","The Shannon, Enniscorthy, Co. Wexford","","2025-07-28",""
"DER2024-048","Clologue Lower, Camolin, Co. Wexford","","2025-06-24","100000"
"DER2023-137","1 Mayview Park, Oulart, Co. Wexford","","2025-06-19","140000"
"DER2023-054","7 Skeffington Street, Wexford","","2025-06-19","110000"
"DER2023-011","Former McNulty's, 27 South Street, New Ross, Co. Wexford","","2025-06-18","75000"
"DER2023-013","Old School House, Marshalstown, Enniscorthy, Co. Wexford","","2025-06-18",""
"DER2022-017","Vacant Unit, Esmonde Street, Gorey, Co. Wexford","","2025-04-28","250000"
"DER2024-037","Derelict Dwelling, Main Street, Ferns, Co. Wexford","","2025-03-12",""
"DER2023-133","Castle Ellis, The Ballagh, Co. Wexford","","2025-03-12","125000"
"DER2023-090","Derelict Site, Carnew Road, Ferns, Co. Wexford","","2025-03-12",""
"DER2024-038","Site Adj acent to Applegreen, Ferns, Co. Wexford","","2025-03-12",""
"DER2022-035","No. 1 Columba Villas, Wexford Town, Co. Wexford","","2025-02-14",""
"DER2023-059","The Old Grainstore, Bridgetown, Co. Wexford","","2025-02-10","200000"
"DER2023-060","Assaly Little, Killinick, Co. Wexford","","2025-02-10","100000"
"DER2020-028","Bungalow at Ballybrennan, Killinick, Co. Wexford","","2025-02-10",""
"DER2020-027","Bridgetown North, Bridgetown, Co. Wexford","","2025-02-10",""
"DER2024-043","Greenlawn, Clonard Road, Wexford Town","","2025-02-10","120000"
"DER2024-002","House B, Danescastle, Bannow, Co. Wexford","","2025-02-10",""
"DER2024-001","House A Danescastle, Bannow, Co. Wexford","","2025-02-10","250000"
"DER2023-108","49 Michael Street, New Ross, Co. Wexford","","2025-02-10",""
"DER2024-018","No. 51 Chestnut Walk, Kilmuckridge, Co. Wexford","","2025-02-10",""
"DER2023-135","No. 53 South Main Street, Wexford Town","","2025-01-30",""
"DER2023-118","27 Mary Street, New Ross, Co. Wexford","","2025-01-28",""
"DER2023-047","49 Bewley Street, New Ross, Co. Wexford","","2025-01-28",""
"DER2023-134","Former Farrell's Furniture, Harpur's Lane, Wexford","","2025-01-28","185000"
"DER2020-037","17 Coolcotts Court, Wexford","","2025-01-28",""
"DER2024-024","Spring Valley, Enniscorthy, Co. Wexford","","2025-01-13",""
"DER2022-026","16 Hill Street, Wexford","","2024-11-20",""
"DER2024-050","11 Quay Street, New Ross, Co. Wexford","","2024-10-31",""
"DER2024-007","16 Skeffington Street, Wexford","","2024-10-31","110000"
"DER2024-006","6 Skeffington Street, Wexford","","2024-10-31",""
"DER2023-087","53 Talbot Green, Wexford","","2024-10-31",""
"DER2023-062","122 South Main Street, Wexford","","2024-10-31",""
"DER2023-009","The Old Hospital (Wexford Workhouse) Old Hospital Road, Wexford","","2024-10-31",""
"DER2023-061","No. 1 South Main Street (Formerly Shoe Zone), Wexford","","2024-10-16",""
"DER2022-012","Angle Hill, Cornwall, Killurin, Co. Wexford","","2024-10-16",""
"DER2024-041","Old Pub, Hookless Village, Fethard-on-Sea. Co. Wexford","","2024-10-16","150000"
"DER2023-129","106 Hookless Village, Fethard-on-Sea, Co. Wexford","","2024-10-16",""
"DER2023-128","105 Hookless Village, Fethard-on-Sea, Co. Wexford","","2024-10-16",""
"DER2023-127","104 Hookless Village, Fethard-on-Sea, Co. Wexford","","2024-10-16",""
"DER2023-126","103 Hookless Village, Fethard-on-Sea, Co. Wexford","","2024-10-16",""
"DER2023-130","Old Court House, Gorey, Co. Wexford","","2024-10-14","650000"
"DER2023-007","12 Bewley Street, New Ross, Co. Wexford","","2024-10-14","75000"
"DER2023-109","48 Michael Street, New Ross, Co. Wexford","","2024-10-10",""
"DER2023-008","16 Bewley Street, New Ross, Co. Wexford","","2024-10-10",""
"DER2023-088","1 Saint Peter's Square, Wexford","","2024-10-07","200000"
"DER2022-024","Two Dwellings, Ballinatray Lower, Courtown, Co. Wexford","","2024-10-07",""
"DER2018-011","Walsheslough, Rosslare Strand, Co. Wexford","","2024-09-16",""
