_ID,TITLE,ADDRESS_1,ADDRESS_2,ADDRESS_3,X_CORD,Y_CORD,DerelictSi
0,DERELICT,MARTELLO HOUSE,STRAND ROAD,KILLINEY,725945.7919,723826.4462,DS: 1223
1,DERELICT,LARABEARG,TIVOLI ROAD NORTH,DUNLAOGHAIRE,723786.3398,728273.9505,DS: 1528
2,DERELICT,SAINT ANNE'S,UPPER DARGLE ROAD,BRAY,724999.6472,718361.9969,DS: 1549
3,DERELICT,3 ALBERT ROAD UPPER,GLENAGEARY,CO.DUBLIN,725344.7284,727140.8341,DS 1544
4,DERELICT,TORCA ROAD,DALKEY,CO.DUBLIN,726640.7519,726246.2348,DS: 1604
5,DERELICT,31 O'DONNELL GARDENS,GLENAGEARY,CO.DUBLIN,724955.2932,727891.1965,DS: 1622
6,DERELICT,WYNNSTAY HOUSE,CLONSKEAGH ROAD,DUBLIN 14,717547.8822,730116.1265,DS: 1628
7,DERELICT,65 DEERPARK ROAD,MOUNT MERRION,CO.DUBLIN,719147.7728,728796.4137,DS 1646
8,DERELICT,22 WOODLAWN PARK,CHURCHTOWN,DUBLIN 14,716735.8216,728694.6038,DS: 1685
9,DERELICT,"WAVERLY LODGE, 61 CARYSFORT AVENUE",BLACKROCK,CO.DUBLIN,721271.5459,729125.4675,DS: 1696
10,DERELICT,61 GEORGE'S STREET UPPER,DUN LAOGHAIRE,CO.DUBLIN,724662.0305,728215.0663,DS 1725
11,DERELICT,HARVEY NURSING HOME,GLENAGEARY ROAD UPPER,CO.DUBLIN,723760.6741,727485.5372,DS: 1705
12,DERELICT,YORK HOUSE TIVOLI LODGE,YORK ROAD,CO.DUBLIN,723683.6155,728105.7999,DS 1450/51
13,DERELICT,OLD DUNLEARY HOUSE,DUN LAOGHAIRE,CO.DUBLIN,723514.8209,728795.0076,DS: 1714
14,DERELICT,17 PATRICK STREET,DUN LAOGHAIRE,CO.DUBLIN,724170.3412,728429.0959,DS: 1712
15,DERELICT,1 & 2 ANNAVILLE AVENUE,BLACKROCK,CO.DUBLIN,721552.8573,727929.7118,DS: 1679
